আফ্রিকা	非洲
বিষয়শ্রেণী:ধর্মের ইতিহাস	Category:宗教史
বিষয়শ্রেণী:১০৫৪-এ মৃত্যু	Category:1054年逝世
বিষয়শ্রেণী:১০৫৫	Category:1055年
বিষয়শ্রেণী:১০৫৫-এ জন্ম	Category:1055年出生
বিষয়শ্রেণী:১০৫৬	Category:1056年
বিষয়শ্রেণী:১০৫৬-এ জন্ম	Category:1056年出生
বিষয়শ্রেণী:১০৫৭	Category:1057年
বিষয়শ্রেণী:১০৫৭-এ জন্ম	Category:1057年出生
বিষয়শ্রেণী:১০৫৭-এ মৃত্যু	Category:1057年逝世
বিষয়শ্রেণী:ভাষা অনুযায়ী বিষয়শ্রেণী	Category:依语言来作的分类
বিষয়শ্রেণী:১০৫৮-এ মৃত্যু	Category:1058年逝世
বিষয়শ্রেণী:১০৫৯-এ জন্ম	Category:1059年出生
বিষয়শ্রেণী:১০৬০	Category:1060年
বিষয়শ্রেণী:১০৬০-এ মৃত্যু	Category:1060年逝世
বিষয়শ্রেণী:ভারতের বিশ্ব ঐতিহ্যবাহী স্থান	Category:印度世界遗产
বিষয়শ্রেণী:১০৬১-এ জন্ম	Category:1061年出生
বিষয়শ্রেণী:১০৬১-এ মৃত্যু	Category:1061年逝世
বিষয়শ্রেণী:১০৬৩	Category:1063年
বিষয়শ্রেণী:১০৬৪	Category:1064年
বিষয়শ্রেণী:১০৬৪-এ জন্ম	Category:1064年出生
বিষয়শ্রেণী:১০৬৪-এ মৃত্যু	Category:1064年逝世
বিষয়শ্রেণী:১০৬৫	Category:1065年
বিষয়শ্রেণী:১০৬৫-এ জন্ম	Category:1065年出生
বিষয়শ্রেণী:১০৬৫-এ মৃত্যু	Category:1065年逝世
বিষয়শ্রেণী:১০৬৬-এ জন্ম	Category:1066年出生
বিষয়শ্রেণী:১০৬৭	Category:1067年
বিষয়শ্রেণী:১০৬৭-এ মৃত্যু	Category:1067年逝世
বিষয়শ্রেণী:১০৬৮-এ জন্ম	Category:1068年出生
বিষয়শ্রেণী:১০৬৮-এ মৃত্যু	Category:1068年逝世
বিষয়শ্রেণী:১০৬৯	Category:1069年
বিষয়শ্রেণী:১০৬৯-এ জন্ম	Category:1069年出生
বিষয়শ্রেণী:১০৭০	Category:1070年
বিষয়শ্রেণী:১০৭০-এ জন্ম	Category:1070年出生
বিষয়শ্রেণী:১০৭১	Category:1071年
বিষয়শ্রেণী:১০৭১-এ জন্ম	Category:1071年出生
বিষয়শ্রেণী:১০৭১-এ মৃত্যু	Category:1071年逝世
বিষয়শ্রেণী:১০৭২-এ জন্ম	Category:1072年出生
বিষয়শ্রেণী:১০৭৩	Category:1073年
বিষয়শ্রেণী:দেশ অনুযায়ী বৈদেশিক সম্পর্ক	Category:各國外交
বিষয়শ্রেণী:১০৭৩-এ জন্ম	Category:1073年出生
বিষয়শ্রেণী:১০৭৩-এ মৃত্যু	Category:1073年逝世
বিষয়শ্রেণী:১০৭৪	Category:1074年
বিষয়শ্রেণী:১০৭৪-এ জন্ম	Category:1074年出生
বিষয়শ্রেণী:১০৭৪-এ মৃত্যু	Category:1074年逝世
বিষয়শ্রেণী:১০৭৫	Category:1075年
বিষয়শ্রেণী:১০৭৫-এ মৃত্যু	Category:1075年逝世
বিষয়শ্রেণী:১০৭৬	Category:1076年
বিষয়শ্রেণী:১০৭৬-এ জন্ম	Category:1076年出生
বিষয়শ্রেণী:১০৭৬-এ মৃত্যু	Category:1076年逝世
বিষয়শ্রেণী:১০৭৭	Category:1077年
বিষয়শ্রেণী:১০৭৭-এ জন্ম	Category:1077年出生
বিষয়শ্রেণী:১০৭৮	Category:1078年
বিষয়শ্রেণী:১০৭৮-এ মৃত্যু	Category:1078年逝世
বিষয়শ্রেণী:১০৭৯	Category:1079年
বিষয়শ্রেণী:১০৭৯-এ জন্ম	Category:1079年出生
বিষয়শ্রেণী:১০৭৯-এ মৃত্যু	Category:1079年逝世
বিষয়শ্রেণী:১০৮০-এ জন্ম	Category:1080年出生
বিষয়শ্রেণী:১০৮১	Category:1081年
বিষয়শ্রেণী:১০৮১-এ মৃত্যু	Category:1081年逝世
বিষয়শ্রেণী:১০৮২	Category:1082年
বিষয়শ্রেণী:১০৮২-এ জন্ম	Category:1082年出生
বিষয়শ্রেণী:১০৮৩	Category:1083年
বিষয়শ্রেণী:১০৮৩-এ জন্ম	Category:1083年出生
বিষয়শ্রেণী:১০৮৪	Category:1084年
টেমপ্লেট:ইতালিতে বিশ্ব ঐতিহ্যবাহী স্থানসমূহ	Template:意大利世界遗产
বিষয়শ্রেণী:১০৮৪-এ জন্ম	Category:1084年出生
বিষয়শ্রেণী:১০৮৪-এ মৃত্যু	Category:1084年逝世
বিষয়শ্রেণী:১০৮৫	Category:1085年
বিষয়শ্রেণী:১০৮৫-এ জন্ম	Category:1085年出生
বিষয়শ্রেণী:১০৮৫-এ মৃত্যু	Category:1085年逝世
বিষয়শ্রেণী:১০৮৬-এ জন্ম	Category:1086年出生
বিষয়শ্রেণী:১০৮৬-এ মৃত্যু	Category:1086年逝世
বিষয়শ্রেণী:১০৮৭	Category:1087年
বিষয়শ্রেণী:১০৮৭-এ জন্ম	Category:1087年出生
বিষয়শ্রেণী:১০৮৭-এ মৃত্যু	Category:1087年逝世
বিষয়শ্রেণী:১০৮৮-এ জন্ম	Category:1088年出生
বিষয়শ্রেণী:১০৮৮-এ মৃত্যু	Category:1088年逝世
বিষয়শ্রেণী:১০৮৯-এ জন্ম	Category:1089年出生
বিষয়শ্রেণী:১০৮৯-এ মৃত্যু	Category:1089年逝世
বিষয়শ্রেণী:১০৯০-এ জন্ম	Category:1090年出生
বিষয়শ্রেণী:১০৯০-এ মৃত্যু	Category:1090年逝世
বিষয়শ্রেণী:১০৯১	Category:1091年
বিষয়শ্রেণী:১০৯১-এ মৃত্যু	Category:1091年逝世
বিষয়শ্রেণী:১০৯২-এ জন্ম	Category:1092年出生
বিষয়শ্রেণী:১০৯২-এ মৃত্যু	Category:1092年逝世
বিষয়শ্রেণী:১০৯৩	Category:1093年
বিষয়শ্রেণী:১০৯৩-এ জন্ম	Category:1093年出生
বিষয়শ্রেণী:১০৯৪	Category:1094年
বিষয়শ্রেণী:১০৯৪-এ জন্ম	Category:1094年出生
বিষয়শ্রেণী:১০৯৫	Category:1095年
বিষয়শ্রেণী:১০৯৫-এ জন্ম	Category:1095年出生
বিষয়শ্রেণী:১০৯৫-এ মৃত্যু	Category:1095年逝世
বিষয়শ্রেণী:১০৯৬	Category:1096年
বিষয়শ্রেণী:১০৯৬-এ জন্ম	Category:1096年出生
বিষয়শ্রেণী:১০৯৬-এ মৃত্যু	Category:1096年逝世
বিষয়শ্রেণী:১০৯৭	Category:1097年
বিষয়শ্রেণী:১০৯৭-এ জন্ম	Category:1097年出生
বিষয়শ্রেণী:১০৯৭-এ মৃত্যু	Category:1097年逝世
বিষয়শ্রেণী:১০৯৮-এ জন্ম	Category:1098年出生
বিষয়শ্রেণী:১০৯৮-এ মৃত্যু	Category:1098年逝世
বিষয়শ্রেণী:১০৯৯-এ জন্ম	Category:1099年出生
বিষয়শ্রেণী:১১০০	Category:1100年
বিষয়শ্রেণী:১১০০-এ জন্ম	Category:1100年出生
বিষয়শ্রেণী:১১০০-এ মৃত্যু	Category:1100年逝世
বিষয়শ্রেণী:১১০১-এ মৃত্যু	Category:1101年逝世
বিষয়শ্রেণী:১১০২-এ জন্ম	Category:1102年出生
বিষয়শ্রেণী:১১০২-এ মৃত্যু	Category:1102年逝世
বিষয়শ্রেণী:১১০৩	Category:1103年
বিষয়শ্রেণী:১১০৩-এ মৃত্যু	Category:1103年逝世
বিষয়শ্রেণী:১১০৪	Category:1104年
বিষয়শ্রেণী:১১০৪-এ জন্ম	Category:1104年出生
বিষয়শ্রেণী:১১০৪-এ মৃত্যু	Category:1104年逝世
বিষয়শ্রেণী:১১০৫	Category:1105年
বিষয়শ্রেণী:১১০৫-এ জন্ম	Category:1105年出生
টেমপ্লেট:দ্যা বিগ ব্যাং থিওরি	Template:The Big Bang Theory
বিষয়শ্রেণী:১১০৬	Category:1106年
বিষয়শ্রেণী:১১০৬-এ মৃত্যু	Category:1106年逝世
বিষয়শ্রেণী:১১০৭	Category:1107年
বিষয়শ্রেণী:১১০৭-এ জন্ম	Category:1107年出生
বিষয়শ্রেণী:১১০৭-এ মৃত্যু	Category:1107年逝世
বিষয়শ্রেণী:১১০৮-এ জন্ম	Category:1108年出生
বিষয়শ্রেণী:১১০৮-এ মৃত্যু	Category:1108年逝世
বিষয়শ্রেণী:১১০৯	Category:1109年
বিষয়শ্রেণী:১১০৯-এ মৃত্যু	Category:1109年逝世
বিষয়শ্রেণী:১১১০-এ জন্ম	Category:1110年出生
বিষয়শ্রেণী:১১১০-এ মৃত্যু	Category:1110年逝世
বিষয়শ্রেণী:১১১১-এ জন্ম	Category:1111年出生
বিষয়শ্রেণী:১১১২	Category:1112年
বিষয়শ্রেণী:১১১২-এ মৃত্যু	Category:1112年逝世
বিষয়শ্রেণী:১১১৩-এ জন্ম	Category:1113年出生
বিষয়শ্রেণী:১১১৩-এ মৃত্যু	Category:1113年逝世
বিষয়শ্রেণী:১১১৪-এ জন্ম	Category:1114年出生
বিষয়শ্রেণী:১১১৪-এ মৃত্যু	Category:1114年逝世
বিষয়শ্রেণী:১১১৫-এ জন্ম	Category:1115年出生
বিষয়শ্রেণী:১১১৫-এ মৃত্যু	Category:1115年逝世
বিষয়শ্রেণী:১১১৬	Category:1116年
বিষয়শ্রেণী:১১১৬-এ মৃত্যু	Category:1116年逝世
বিষয়শ্রেণী:১১১৭	Category:1117年
বিষয়শ্রেণী:১১১৭-এ মৃত্যু	Category:1117年逝世
বিষয়শ্রেণী:১১১৮-এ জন্ম	Category:1118年出生
বিষয়শ্রেণী:১১১৯	Category:1119年
