आफ्रिकाखण्डः	非洲
बीकानेरमण्डलम्	比卡內爾縣
स्केटिङ्ग्	滑冰
नहान्	纳汉
वार्तकीरसः	番茄汁
अझमगढमण्डलम्	阿桑加爾縣
बि एम् डब्ल्यू सिक्स् सीरीज्	BMW 6系列
भिण्ड	宾德
बिजनौर	比杰诺尔
बि एम् डब्ल्यू (i8)	BMW i8
दक्षिण-अण्डमानमण्डलम्	南安达曼县
निकोबारमण्डलम्	尼科巴县
बाबरः	巴卑尔
बदांयू	布道恩
बालंगिर् मण्डलम्	巴蘭基爾縣
बनासकाठामण्डलम्	巴纳斯坎塔县
बेङ्गळूरुग्रामान्तरमण्डलम्	班加羅爾鄉村縣
बांसवाडामण्डलम्	班斯瓦拉縣
बर्धमानमण्डलम्	巴爾達曼縣
बारागर् मण्डलम्	巴加爾縣
बाडमेर	巴尔梅尔
बडवानी-नगरम्	巴尔瓦尼
बीडमण्डलम्	比德縣
बेळगावीमण्डलम्	貝爾高姆縣
अतिथिसत्कारः	款待
विकिरणीयप्रदूषणम्	放射性污染
द्वारकाद्वीपः	德瓦尔卡
ब्राह्मणम्	梵书
तिरुपुर	蒂魯普
लाहौल्-स्पितीमण्डलम्	拉胡爾和斯皮提縣
भारतीय भूगोलः	印度地理
कन्नडलिपिः	卡納達文
मन्दारः	宮粉羊蹄甲
क्षणम्	刹那
फैजाबाद्	法扎巴德
माध्यमिकाः	中觀學派
कुन्ती	貢蒂
तमिल-विकिपीडिया	泰米爾語維基百科
द्वितीयः चन्द्रगुप्तः	旃陀罗·笈多二世
महाजनपदाः	印度列国时代
योगाचाराः	瑜伽行唯識學派
चन्द्रगुप्तः	旃陀罗·笈多一世
खण्डशर्करा	冰糖
वियुग्मदण्डम्	高低杠
भरतपुरमण्डलम्	珀勒德布爾縣
भरुचमण्डलम्	巴鲁奇县
भावनगरमण्डलम्	巴夫那加尔县
राष्ट्रकूटवंशः	罗湿陀罗拘陀
पाण्डुः	般度
भृङ्गराजसस्यम्	鳢肠
बोम्मनहळ्ळीविधानसभाक्षेत्रम्	博姆马纳哈尔利
बृहत्संहिता	伐罗诃密希罗
चन्देरी	钱德里
चम्पावत	恰姆帕瓦特
चमोली गोपेश्वरम्	恰莫利戈佩斯赫瓦尔
चन्द्रपुरम्	钱德拉普尔
बुलन्दशहर	布兰德斯哈赫尔
चम्पाय	恰姆派
बून्दी	本迪
चामराजनगरमण्डलम्	查马拉贾纳加尔县
राजगिर	王舍城
दीमापुर्	迪马普尔
शिल्पकला	手工艺
इटावा	埃塔瓦
भारतस्य राष्ट्रपतयः	印度总统列表
द्रोणाचार्यः	德羅納
कांशीरामनगरमण्डलम्	卡斯甘傑縣
उज्जैनमण्डलम्	烏賈因縣
ब्रह्मचर्यम्	梵行期
शूद्रः	首陀罗
गोमयम्	牛糞
तुमकूरुमण्डलम्	杜姆古尔
विकिपीडिया:साहाय्यम्	Help:目录
टोङ्कमण्डलम्	湯克縣
वेदाङ्गम्	吠陀支
लक्ष्मणः	羅什曼那
सीतापुरम्	西塔普尔
धृतराष्ट्रः	持國
द हिन्दू	印度教徒報
वासकसस्यम्	鸭嘴花
होशियारपुरम्	霍斯希亚尔普尔
अलप्पुळामण्डलम्	阿拉普扎縣
गुनामण्डलम्	古納縣
रागीधान्यम्	穇子
उन्नाव्	乌纳奥
सिरोही	西罗希
नीमच	内埃穆奇
पलाशवृक्षः	紫矿
ठाणेमण्डलम्	塔納縣
सवाई माधोपुरम्	萨瓦伊马多普尔
अगस्त्यवृक्षः	大花田菁
भारतीयविज्ञानसंस्था (IISc)	印度科學理工學院
पर्यावरणशिक्षा	環境教育
तुङ्गभद्रा	栋格珀德拉河
पद्मश्री-पुरस्कारः	莲花士勋章
पालनपुरम्	帕拉恩普尔
राहुः	罗睺
दक्षिणकन्नडमण्डलम्	南卡纳达县
मिर्जापुरम्	密札浦
कोप्पळ	卡巴爾縣
हासनमण्डलम्	哈桑县 (印度)
जगत्सिंगपुर् मण्डलम्	賈加青加普縣
वातामक्षीरम्	扁桃漿
प्रश्नोपनिषत्	六问奥义书
वर्धामण्डलम्	瓦爾達縣
युधिष्ठिरः	堅戰
छिन्दवाडा	钦德瓦拉
यास्कः	耶斯迦
कोटामण्डलम्	科塔縣
रायबरेली	拉埃巴雷利
रीवा	雷瓦
टोङ्क, भारतम्	通克
गाझिपुरम्	加齐普尔
नवद्वीप	纳巴德维普
झुञ्झुनु	均均乌恩
सागर	薩格爾
वर्कले	瓦尔卡拉
फतेहगढ	法泰赫加尔
देवरिया, उत्तरप्रदेशः	德奥里亚
ईशावास्योपनिषत्	自在奥义书
जालौर	贾洛尔
शान्तिनिकेतन	桑蒂尼盖登
ताळीकोटे	塔利科塔
प्रतापगढ, उत्तरप्रदेशः	普拉塔普加尔城
उदरम्	胃
अविद्या (योगदर्शनम्)	无明
संस्कृतवाङ्मयम्	梵语文学
द्रौपदी	黑公主
समुद्रीय-प्रदूषणम्	海洋污染
चम्बामण्डलम्	昌巴縣
कच्छमण्डलम्	喀奇县
चार्ल्स् एल्टन्	查尔斯·艾尔顿
तृणबदरफलरसः	草莓汁
सौराष्ट्रम्	索拉什特拉
छतरपुरम्	恰塔尔普尔
चिक्कबळ्ळापुरमण्डलम्	奇克巴爾拉普爾縣
चित्तौडगढमण्डलम्	奇陶加爾縣
चुरूमण्डलम्	楚盧縣
ओङ्कारेश्वरः	奥姆卡雷斯赫瓦尔
चिक्कोडी	奇科迪
चिकल्धारा	奇卡尔达拉
कोलासिब	科拉西布
भूमालिन्यम्	土地污染
भारतस्य शासनप्रणालिः	印度政治
नक्षत्रम्	二十七宿
अयस्कान्तचिकित्सा	磁療
पोतकी	落葵
कामः	欲樂
समुद्रगुप्तः	沙摩陀罗·笈多
दार्जिलिङ्गमण्डलम्	大吉岭县
जयपुरमण्डलम्	齋浦爾縣
डाङ्गमण्डलम्	当斯县
कामेट् (शिखरम्)	卡密特山
मिर्जापुरमण्डलम्	米爾扎布爾縣
गोरखपुरमण्डलम्	戈勒克布爾縣
सर्पगन्धः	蛇根木
गुडः	石蜜
यशपाल	耶谢巴尔
शैलेन्द्रराजवंशः	夏连特拉王国
खरोष्ठी	佉卢文
दौसामण्डलम्	達烏薩縣
गृञ्जनकरसः	胡萝卜汁
दमोह	达莫
दतिया	达蒂亚
डङ्कपुरम्	达科尔
चुरू	丘鲁
दीग	德埃格
हिन्दुधर्मस्य इतिहासः	印度教历史
भारतीय प्रौद्यौगिकी संस्थानम् दिल्ली	德里印度理工学院
पीलीभीत्	皮利比特
धौलपुरमण्डलम्	達烏爾布爾縣
द्राक्षाफलरसः	葡萄汁
भारतीयसेनोत्सवः	軍人節
मीनराशिः	雙魚宮
द्राविडमुन्नेत्रकळगम्(डि.एम्.के)	达罗毗荼进步联盟
दाहोद	多哈德
धौलपुरम्	道尔普尔
डुङ्गरपुरमण्डलम्	頓加爾布爾縣
देवास	德瓦斯
सम्भल्पुर मण्डलम्	桑巴普爾縣
अलाबु	葫芦
गाझिपुरमण्डलम्	加茲布爾縣
आकाशवाणी(AIR)	全印广播电台
वाराणसीमण्डलम्	瓦拉納西縣
रायबरेलीमण्डलम्	雷巴雷利縣
त्रिपिटकम् (बौद्धदर्शनम्)	三藏
उदयपुरमण्डलम्	烏代布爾縣
राजमाषशाकम्	長豇豆
पटोलः	瓜叶栝楼
विकिपीडिया:वैज्ञानिक-शब्दावलिः/A	班智達
संन्यासाश्रमः	棄絕期
मोरादाबादमण्डलम्	莫拉達巴德縣
दीर्घकालीना उत्क्रान्तिः - पराक्रान्ता	長期演進技術升級版
जलपाइगुडिमण्डलम्	傑爾拜古里縣
कोट्टयममण्डलम्	果塔延縣
जौनपुरमण्डलम्	章普爾縣
एर्णाकुलम् मण्डलम्	埃爾訥古勒姆縣
हनुमानगढमण्डलम्	哈努芒加爾縣
महाराजागञ्जमण्डलम्	馬哈拉吉甘傑縣
सुल्तानपुरमण्डलम्	蘇丹普爾縣
टिहरीगढवालमण्डलम्	特里加瓦爾縣
ब्राह्मी	假馬齒莧
सीमानियन्त्रणरेखा	印巴控制線
दुमका	杜姆卡
चालुक्यवंशः	遮娄其王朝
मञ्जुल भार्गव	曼久尔·巴尔加瓦
